<X> <Y>
4.871780218794631e-02 6.099749834254177e+01
4.905583706365048e-02 5.382125756895780e+01
4.939621743878321e-02 4.699640945164562e+01
4.973895958790065e-02 4.055660921148036e+01
5.008407989848210e-02 3.453199213697638e+01
5.043159487171359e-02 2.894893540187308e+01
5.078152112327673e-02 2.382984854369194e+01
5.113387538414326e-02 1.919299517588018e+01
5.148867450137495e-02 1.505234832806963e+01
5.184593543892910e-02 1.141748159635280e+01
5.220567527846975e-02 8.293498038245504e+00
5.256791122018422e-02 5.680998465455080e+00
5.293266058360561e-02 3.576090472455321e+00
5.329994080844090e-02 1.970439191430609e+00
5.366976945540476e-02 8.513603861149551e-01
5.404216420705915e-02 2.019560907072868e-01
5.441714286865890e-02 1.292568213809805e-03
5.479472336900287e-02 2.246199086570708e-01
5.517492376129126e-02 8.436321155664236e-01
5.555776222398878e-02 1.826766043583125e+00
5.594325706169378e-02 3.139537055979332e+00
5.633142670601355e-02 4.744908774066347e+00
5.672228971644543e-02 6.603693797015924e+00
5.711586478126432e-02 8.674981787187249e+00
5.751217071841613e-02 1.091659084968170e+01
5.791122647641758e-02 1.328553769295609e+01
5.831305113526222e-02 1.573852164756716e+01
5.871766390733255e-02 1.823241725034632e+01
5.912508413831878e-02 2.072476977942758e+01
5.953533130814370e-02 2.317428785941404e+01
5.994842503189409e-02 2.554132705326302e+01
6.036438506075867e-02 2.778835822552090e+01
6.078323128297230e-02 2.988041440722399e+01
6.120498372476699e-02 3.178550992231965e+01
6.162966255132942e-02 3.347502565426677e+01
6.205728806776500e-02 3.492405454398524e+01
6.248788072006891e-02 3.611170171983402e+01
6.292146109610344e-02 3.702133406876813e+01
6.335804992658250e-02 3.764077456576450e+01
6.379766808606283e-02 3.796243728486277e+01
6.424033659394190e-02 3.798339971685004e+01
6.468607661546324e-02 3.770540981093281e+01
6.513490946272803e-02 3.713482603392381e+01
6.558685659571432e-02 3.628248969172071e+01
6.604193962330306e-02 3.516352977328947e+01
6.650018030431118e-02 3.379710164404963e+01
6.696160054853219e-02 3.220606201853706e+01
6.742622241778343e-02 3.041658376463606e+01
6.789406812696110e-02 2.845771521488703e+01
6.836516004510239e-02 2.636088976422054e+01
6.883952069645496e-02 2.415939259644400e+01
6.931717276155404e-02 2.188779238145165e+01
6.979813907830661e-02 1.958134669836194e+01
7.028244264308349e-02 1.727539074333385e+01
7.077010661181890e-02 1.500471955170885e+01
7.126115430111746e-02 1.280297448019711e+01
7.175560918936924e-02 1.070204503528248e+01
7.225349491787214e-02 8.731497280047046e+00
7.275483529196229e-02 6.918039986938121e+00
7.325965428215230e-02 5.285039415571942e+00
7.376797602527735e-02 3.852093073198642e+00
7.427982482564914e-02 2.634672056042179e+00
7.479522515621821e-02 1.643840572373032e+00
7.531420165974372e-02 8.860600182546179e-01
7.583677914997190e-02 3.630835255505248e-01
7.636298261282246e-02 7.194524619569015e-02
7.689283720758310e-02 5.046800296962567e-03
7.742636826811269e-02 1.503413279619650e-01
7.796360130405233e-02 4.916134815415513e-01
7.850456200204509e-02 1.008851517644594e+00
7.904927622696424e-02 1.678705443507743e+00
7.959777002314981e-02 2.475022991250519e+00
