# Eingangsdaten nach q-Umrechnung (Faktor 10 → nm^-1)
# record_id: 4e638f03-a077-45cb-a135-e22e59d780c7
# erzeugt von: ScatterForge Plot 7.11.0 / analysis.gift 0.4.0
# Quelle: Sphere_140+Hardsphere.txt
# Dmax = 62.17 nm, N = 200, K = dirichlet, lambda_rel = 7.499e-13 (Wendepunkt)
# q-Bereich: 0.0505337 - 10 nm^-1 (full)
# Rg = 10.8444 +- 0.137 nm, I(0) = 5747.08 +- 22.2, MD = 0.002797
# GIFT: S(q) = hs_py_avg; phi = 0.200001 +- 0.00581, r_hs = 14 +- 0.0757, mu = 0.000477663 +- 1.1; MD ohne S(q) = 5.118
# Flags: dmax_qmin=warning, shannon=ok, q_range=ok, sigma_estimated=info, lambda=warning, fit_quality=info, pr_end=ok, pr_tail=info, pr_negative=ok, gift_bound=warning, gift_improvement=ok, gift_lambda=warning, gift_multistart=info, gift_apparent=info
# q / nm^-1	I	sigma (verwendet)
2.70902021e+00	2.44728714e-02	2.44728714e-04
2.73793749e+00	1.60136706e-02	1.60136706e-04
2.76716344e+00	6.35191669e-03	6.35191669e-05
2.79670136e+00	1.17986038e-03	1.17986038e-05
2.82655458e+00	3.17680372e-03	3.17680372e-05
2.85672647e+00	1.03824976e-02	1.03824976e-04
2.88722042e+00	1.75320277e-02	1.75320277e-04
2.91803988e+00	1.95794026e-02	1.95794026e-04
2.94918833e+00	1.51353455e-02	1.51353455e-04
2.98066926e+00	7.38409705e-03	7.38409705e-05
3.01248623e+00	1.73012794e-03	1.73012794e-05
3.04464284e+00	1.86298973e-03	1.86298973e-05
3.07714270e+00	7.11142324e-03	7.11142324e-05
3.10998947e+00	1.30196529e-02	1.30196529e-04
3.14318687e+00	1.47878773e-02	1.47878773e-04
3.17673863e+00	1.10295721e-02	1.10295721e-04
3.21064853e+00	4.82650164e-03	4.82650164e-05
3.24492041e+00	1.12633581e-03	1.12633581e-05
3.27955812e+00	2.62094880e-03	2.62094880e-05
3.31456556e+00	7.54659095e-03	7.54659095e-05
3.34994670e+00	1.12685104e-02	1.12685104e-04
3.38570550e+00	1.03799928e-02	1.03799928e-04
3.42184601e+00	5.74121517e-03	5.74121517e-05
3.45837230e+00	1.60707923e-03	1.60707923e-05
3.49528849e+00	1.59501487e-03	1.59501487e-05
3.53259874e+00	5.29425198e-03	5.29425198e-05
3.57030725e+00	8.74211321e-03	8.74211321e-05
3.60841828e+00	8.37578218e-03	8.37578218e-05
3.64693613e+00	4.61066812e-03	4.61066812e-05
3.68586513e+00	1.33129819e-03	1.33129819e-05
3.72520968e+00	1.75912094e-03	1.75912094e-05
3.76497420e+00	5.06344437e-03	5.06344437e-05
3.80516319e+00	7.34275371e-03	7.34275371e-05
3.84578118e+00	5.98284577e-03	5.98284577e-05
3.88683274e+00	2.57942704e-03	2.57942704e-05
